month,user_id,plan_id,seats,is_active,is_paying,mrr,new_paid,expansion_mrr,contraction_mrr,churn_mrr,churned_this_month,activation_within_7d,usage_events,deploys,projects_created
2025-01-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,5,0,0
2025-02-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-03-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-04-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-05-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-06-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-07-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-08-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-09-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-10-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-11-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-12-01,1,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,1
2025-02-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-03-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-04-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,1,0
2025-05-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,1,0
2025-06-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-07-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,11,0,1
2025-08-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-09-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-10-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-11-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-12-01,2,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,1
2025-01-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,18,0,0
2025-02-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,22,1,0
2025-03-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,11,0,1
2025-04-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,19,1,1
2025-05-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,0,2
2025-06-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,21,0,0
2025-07-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,16,0,0
2025-08-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,20,1,0
2025-09-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,1,0
2025-10-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,5,1,1
2025-11-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,0,1
2025-12-01,3,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,13,0,1
2025-01-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,0,2
2025-02-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,20,1,2
2025-03-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,11,1,0
2025-04-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,22,2,0
2025-05-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,1,0
2025-06-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,20,2,0
2025-07-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,1,1
2025-08-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,17,1,1
2025-09-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,19,1,2
2025-10-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,0,2
2025-11-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,14,0,2
2025-12-01,4,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,12,1,0
2025-01-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-02-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,3,0,0
2025-03-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,9,0,0
2025-04-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-05-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-06-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,1
2025-07-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,1,0
2025-08-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,0,1
2025-09-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,7,0,0
2025-10-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,1,1
2025-11-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,0
2025-12-01,5,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,1
2025-01-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,11,0,0
2025-02-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,1
2025-03-01,6,2,1,1,1,20.0,1,20.0,0.0,0.0,0,0,12,1,1
2025-04-01,6,2,1,1,1,20.0,0,0.0,0.0,0.0,0,0,15,0,1
2025-05-01,6,1,1,1,0,0.0,0,0.0,20.0,0.0,0,0,20,1,2
2025-06-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,0,1
2025-07-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,1
2025-08-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-09-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,0,0
2025-10-01,6,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,8,0,0
2025-11-01,6,1,1,0,0,0.0,0,0.0,0.0,0.0,1,0,8,0,1
2025-12-01,6,1,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2025-01-01,7,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,5,0,0
2025-02-01,7,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,7,1,1
2025-03-01,7,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,9,1,0
2025-04-01,7,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,8,0,1
2025-05-01,7,1,1,1,0,0.0,0,0.0,0.0,0.0,0,1,10,0,1
2025-06-01,7,2,1,1,1,20.0,1,20.0,0.0,0.0,0,1,11,0,0
2025-07-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,18,2,2
2025-08-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,18,1,0
2025-09-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,20,2,1
2025-10-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,19,1,1
2025-11-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,29,1,3
2025-12-01,7,2,1,1,1,20.0,0,0.0,0.0,0.0,0,1,24,1,1
2025-01-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,10,1,0
2025-02-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,5,0,0
2025-03-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,0,0
2025-04-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,14,2,1
2025-05-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,4,1,0
2025-06-01,8,1,1,1,0,0.0,0,0.0,0.0,0.0,0,0,6,1,0
