user_id,signup_date,acquisition_channel,country,account_type,initial_plan_id,first_project_date,first_deploy_date
1,2024-10-01,Referral,US,Individual,1,,
2,2024-10-01,Referral,IN,Individual,1,2024-10-08,2024-10-10
3,2024-10-01,Paid Search,DE,Individual,2,,
4,2024-10-01,Organic,GB,Individual,2,,
5,2024-10-01,Organic,US,Individual,1,,
6,2024-10-01,Organic,CA,Individual,1,2024-10-11,2024-10-20
7,2024-10-01,Referral,DE,Individual,1,2024-10-04,2024-10-06
8,2024-10-01,Paid Search,CA,Individual,1,,2024-10-18
9,2024-10-01,Referral,FR,Team,2,,
10,2024-10-01,Organic,US,Team,1,2024-10-07,2024-10-14
11,2024-10-01,Organic,US,Team,3,2024-10-04,2024-10-07
12,2024-10-02,Organic,US,Team,2,2024-10-03,2024-10-10
13,2024-10-02,Organic,US,Individual,2,2024-10-06,2024-10-08
14,2024-10-02,Organic,US,Individual,1,2024-10-05,
15,2024-10-02,Partner,IN,Individual,1,2024-10-08,
16,2024-10-02,Content,IN,Individual,1,,
17,2024-10-02,Paid Search,US,Team,1,2024-10-21,
18,2024-10-02,Paid Search,JP,Individual,1,2024-10-07,
19,2024-10-03,Organic,CA,Team,1,2024-10-07,2024-10-23
20,2024-10-03,Partner,AU,Individual,1,2024-10-13,
21,2024-10-03,Organic,IN,Individual,1,2024-10-07,2024-10-08
22,2024-10-03,Content,IN,Individual,1,,
23,2024-10-03,Paid Search,US,Team,2,2024-10-05,
24,2024-10-03,Organic,US,Individual,2,2024-10-06,
25,2024-10-04,Content,US,Individual,2,2024-10-17,2024-10-28
26,2024-10-04,Organic,IN,Individual,1,2024-10-06,
27,2024-10-04,Paid Search,US,Individual,1,2024-10-12,2024-10-16
28,2024-10-04,Paid Search,IN,Individual,1,,
29,2024-10-04,Organic,US,Individual,2,,2024-10-22
30,2024-10-04,Paid Search,IN,Individual,1,2024-10-15,
31,2024-10-04,Referral,US,Individual,1,2024-10-08,
32,2024-10-04,Referral,US,Individual,1,2024-10-08,2024-10-15
33,2024-10-05,Organic,US,Individual,1,,
34,2024-10-05,Content,US,Individual,1,,
35,2024-10-05,Organic,US,Individual,1,,
36,2024-10-05,Organic,IN,Individual,1,2024-10-09,2024-10-12
37,2024-10-05,Organic,US,Individual,1,2024-10-13,
38,2024-10-05,Organic,US,Team,1,2024-10-19,
39,2024-10-05,Organic,BR,Individual,1,2024-10-19,
40,2024-10-05,Content,US,Individual,2,2024-10-16,2024-10-18
41,2024-10-05,Organic,JP,Individual,1,2024-10-08,
42,2024-10-05,Organic,ES,Individual,2,,
43,2024-10-05,Organic,US,Team,3,2024-10-10,2024-10-12
44,2024-10-05,Referral,US,Individual,1,2024-10-16,
45,2024-10-06,Partner,US,Individual,2,2024-10-18,2024-10-31
46,2024-10-06,Organic,IN,Individual,1,,2024-10-22
47,2024-10-06,Organic,DE,Individual,2,2024-10-11,
48,2024-10-06,Organic,DE,Individual,1,2024-10-13,
49,2024-10-07,Organic,IN,Team,3,2024-10-10,
50,2024-10-07,Organic,US,Individual,1,2024-10-24,2024-10-27
51,2024-10-07,Paid Search,BR,Individual,1,2024-10-24,
52,2024-10-07,Organic,IN,Individual,1,,
53,2024-10-07,Paid Search,GB,Team,3,2024-10-08,2024-10-14
54,2024-10-07,Organic,AU,Individual,2,2024-10-12,
55,2024-10-07,Content,IN,Team,3,2024-10-22,2024-10-25
56,2024-10-07,Content,US,Individual,2,2024-10-10,2024-10-10
57,2024-10-07,Paid Search,US,Individual,1,2024-10-10,2024-10-15
58,2024-10-08,Organic,CA,Individual,1,2024-10-10,
59,2024-10-08,Paid Search,US,Individual,1,2024-10-26,
60,2024-10-08,Paid Search,JP,Individual,1,,
61,2024-10-08,Referral,US,Team,2,,
62,2024-10-08,Paid Search,FR,Individual,1,,
63,2024-10-08,Partner,CA,Individual,1,2024-10-17,2024-10-23
64,2024-10-08,Content,US,Individual,1,2024-10-09,
65,2024-10-09,Organic,JP,Team,1,2024-10-16,
66,2024-10-09,Paid Search,BR,Team,2,2024-10-19,
67,2024-10-09,Organic,GB,Individual,1,,2024-10-24
68,2024-10-09,Organic,US,Team,3,2024-10-14,
69,2024-10-09,Paid Search,US,Individual,1,2024-10-18,
70,2024-10-09,Organic,US,Individual,1,2024-10-15,
71,2024-10-09,Partner,US,Individual,1,,
72,2024-10-09,Organic,CA,Team,3,2024-10-11,2024-10-12
73,2024-10-09,Paid Search,ES,Individual,1,2024-10-17,
74,2024-10-10,Paid Search,GB,Individual,1,2024-10-24,
75,2024-10-10,Referral,AU,Individual,1,2024-10-12,
76,2024-10-10,Paid Search,FR,Team,1,,
77,2024-10-10,Partner,CA,Individual,1,,2024-11-06
78,2024-10-10,Paid Search,BR,Individual,2,2024-10-10,2024-10-15
79,2024-10-10,Paid Search,CA,Individual,2,2024-10-14,2024-10-24
80,2024-10-11,Organic,BR,Individual,1,,2024-10-17
81,2024-10-11,Paid Search,US,Individual,1,2024-10-13,
82,2024-10-11,Partner,US,Team,1,,
83,2024-10-11,Paid Search,BR,Individual,1,2024-10-15,
84,2024-10-11,Partner,GB,Individual,2,2024-10-18,2024-10-29
85,2024-10-11,Paid Search,AU,Individual,1,,
86,2024-10-12,Organic,JP,Team,3,,
87,2024-10-12,Organic,US,Individual,1,2024-10-15,2024-10-18
88,2024-10-12,Organic,CA,Individual,2,,2024-10-20
89,2024-10-12,Referral,US,Team,2,2024-10-15,
90,2024-10-12,Referral,DE,Team,3,2024-10-18,2024-10-26
91,2024-10-12,Organic,IN,Team,2,2024-10-24,
92,2024-10-12,Paid Search,US,Team,3,2024-10-21,
93,2024-10-12,Paid Search,GB,Individual,1,,2024-11-05
94,2024-10-12,Paid Search,IN,Team,1,2024-10-24,2024-10-28
95,2024-10-12,Organic,US,Individual,2,2024-11-13,2024-11-26
96,2024-10-12,Organic,IN,Team,3,2024-10-20,
97,2024-10-12,Organic,DE,Individual,2,,
98,2024-10-12,Organic,JP,Team,3,,2024-10-25
99,2024-10-12,Organic,US,Individual,2,,2024-10-21
100,2024-10-12,Organic,US,Individual,1,2024-10-30,
101,2024-10-13,Paid Search,CA,Individual,1,,
102,2024-10-13,Organic,US,Team,2,,2024-10-24
103,2024-10-13,Content,ES,Team,3,2024-10-16,2024-10-24
104,2024-10-13,Organic,US,Individual,1,2024-10-13,
105,2024-10-13,Organic,IN,Individual,1,2024-10-19,2024-10-31
106,2024-10-13,Organic,GB,Individual,1,,
107,2024-10-13,Organic,US,Individual,2,2024-10-19,2024-10-22
108,2024-10-14,Partner,US,Team,2,2024-10-21,
109,2024-10-14,Organic,DE,Individual,1,2024-10-25,2024-11-02
110,2024-10-14,Content,GB,Individual,1,,2024-10-24
111,2024-10-14,Content,US,Team,1,,2024-10-23
112,2024-10-14,Paid Search,AU,Individual,1,2024-10-17,
113,2024-10-14,Paid Search,US,Individual,1,2024-11-05,
114,2024-10-14,Referral,US,Individual,1,2024-10-28,
115,2024-10-14,Paid Search,GB,Individual,1,2024-11-04,2024-11-06
116,2024-10-14,Referral,US,Individual,1,2024-10-16,
117,2024-10-14,Organic,JP,Individual,2,2024-10-16,
118,2024-10-14,Organic,US,Individual,1,,2024-10-21
119,2024-10-14,Paid Search,US,Team,2,2024-10-19,2024-10-21
120,2024-10-15,Paid Search,US,Individual,2,,2024-10-30
121,2024-10-15,Content,DE,Team,1,2024-10-29,
122,2024-10-15,Organic,GB,Individual,1,,
123,2024-10-15,Partner,FR,Individual,2,2024-10-23,2024-10-31
124,2024-10-15,Organic,US,Individual,1,,
125,2024-10-15,Paid Search,US,Individual,1,,2024-10-24
126,2024-10-15,Organic,IN,Individual,1,,
127,2024-10-15,Paid Search,US,Team,3,2024-10-16,
128,2024-10-16,Organic,BR,Individual,1,2024-10-18,
129,2024-10-16,Paid Search,US,Individual,1,2024-10-22,
130,2024-10-16,Partner,BR,Team,3,2024-10-20,2024-10-31
131,2024-10-17,Paid Search,US,Individual,1,2024-10-26,
132,2024-10-17,Paid Search,DE,Individual,1,2024-11-04,
133,2024-10-17,Partner,US,Individual,1,,2024-11-27
134,2024-10-17,Referral,US,Individual,1,2024-10-26,
135,2024-10-17,Paid Search,US,Individual,1,2024-10-20,
136,2024-10-17,Organic,US,Individual,1,2024-10-24,
137,2024-10-17,Content,US,Team,3,2024-10-21,2024-11-05
138,2024-10-18,Paid Search,GB,Individual,1,2024-10-25,
139,2024-10-18,Organic,GB,Individual,1,,
140,2024-10-18,Organic,IN,Team,1,2024-10-23,
141,2024-10-19,Partner,FR,Individual,1,2024-10-28,
142,2024-10-19,Organic,DE,Individual,2,2024-10-25,
143,2024-10-19,Content,US,Individual,1,,
144,2024-10-19,Organic,CA,Team,3,2024-10-29,2024-11-01
145,2024-10-19,Referral,US,Individual,1,,2024-11-05
146,2024-10-19,Paid Search,BR,Individual,1,,2024-11-01
147,2024-10-20,Paid Search,US,Individual,1,2024-10-23,
148,2024-10-20,Content,US,Individual,2,2024-10-22,
149,2024-10-20,Paid Search,FR,Team,3,2024-10-25,2024-11-07
150,2024-10-20,Paid Search,US,Team,3,,2024-10-31
151,2024-10-20,Organic,AU,Individual,1,2024-10-27,
152,2024-10-20,Organic,BR,Individual,1,2024-10-30,
153,2024-10-20,Organic,US,Individual,2,2024-10-24,
154,2024-10-20,Referral,US,Team,2,,
155,2024-10-21,Organic,CA,Individual,1,2024-10-21,
156,2024-10-21,Organic,DE,Individual,1,,
157,2024-10-21,Paid Search,US,Individual,1,2024-10-27,2024-11-09
158,2024-10-21,Referral,IN,Individual,2,2024-10-27,
159,2024-10-21,Referral,DE,Individual,1,2024-11-02,2024-11-02
160,2024-10-22,Organic,US,Individual,1,2024-11-19,
161,2024-10-22,Organic,US,Individual,2,2024-11-01,
162,2024-10-22,Content,IN,Team,1,,2024-11-04
163,2024-10-22,Organic,US,Individual,1,2024-10-25,
164,2024-10-22,Partner,BR,Individual,1,,
165,2024-10-22,Partner,US,Individual,1,2024-11-05,2024-11-10
166,2024-10-23,Referral,GB,Individual,1,2024-10-27,2024-10-30
167,2024-10-23,Organic,AU,Individual,2,2024-10-26,2024-11-06
168,2024-10-23,Partner,BR,Individual,1,2024-10-30,
169,2024-10-23,Referral,US,Individual,1,,
170,2024-10-23,Paid Search,US,Individual,2,2024-10-27,2024-10-29
171,2024-10-24,Organic,IN,Individual,1,,
172,2024-10-24,Organic,US,Individual,1,2024-11-14,
173,2024-10-25,Organic,US,Team,2,2024-11-01,2024-11-04
174,2024-10-25,Paid Search,AU,Individual,2,2024-11-03,
175,2024-10-25,Paid Search,US,Team,3,2024-11-06,2024-11-09
176,2024-10-25,Organic,US,Individual,1,2024-10-28,
177,2024-10-25,Paid Search,US,Individual,2,2024-11-02,
178,2024-10-25,Organic,DE,Individual,1,2024-10-28,
179,2024-10-25,Referral,FR,Individual,1,2024-10-26,
180,2024-10-25,Content,US,Team,3,2024-10-28,2024-11-07
181,2024-10-25,Organic,US,Individual,1,2024-11-01,
182,2024-10-25,Paid Search,US,Team,3,2024-10-26,2024-10-27
183,2024-10-25,Organic,FR,Individual,2,,
184,2024-10-25,Paid Search,US,Individual,1,2024-11-04,2024-11-05
185,2024-10-26,Referral,JP,Individual,1,2024-11-02,
186,2024-10-26,Content,US,Individual,2,,2024-11-08
187,2024-10-26,Organic,ES,Individual,2,2024-11-08,2024-11-12
188,2024-10-26,Content,US,Individual,1,2024-10-30,
189,2024-10-26,Organic,IN,Individual,1,,
190,2024-10-26,Paid Search,US,Individual,1,,2024-11-10
191,2024-10-26,Organic,US,Individual,1,2024-11-04,2024-11-09
192,2024-10-27,Content,AU,Team,2,,2024-11-03
193,2024-10-27,Paid Search,BR,Team,3,2024-11-01,2024-11-07
194,2024-10-27,Referral,US,Individual,1,,
195,2024-10-27,Partner,IN,Individual,1,2024-10-27,
196,2024-10-27,Organic,GB,Individual,1,2024-10-28,
197,2024-10-27,Organic,BR,Team,3,2024-10-30,
198,2024-10-27,Partner,US,Individual,1,,
199,2024-10-28,Organic,GB,Individual,1,2024-11-06,2024-11-08
200,2024-10-28,Organic,CA,Team,2,,
201,2024-10-28,Paid Search,US,Individual,1,2024-11-04,
202,2024-10-28,Paid Search,AU,Individual,1,2024-11-09,
203,2024-10-28,Organic,US,Individual,1,2024-10-31,
204,2024-10-28,Organic,US,Individual,2,2024-10-31,2024-11-13
205,2024-10-29,Organic,GB,Individual,1,2024-11-09,2024-11-17
206,2024-10-29,Paid Search,FR,Individual,2,2024-11-03,2024-11-07
207,2024-10-29,Content,US,Individual,1,,
208,2024-10-29,Content,US,Individual,1,2024-11-12,
209,2024-10-29,Referral,JP,Team,3,2024-11-05,
210,2024-10-29,Organic,US,Individual,1,,
211,2024-10-29,Content,FR,Individual,1,2024-11-11,
212,2024-10-29,Paid Search,IN,Individual,1,2024-11-15,
213,2024-10-30,Organic,US,Team,2,2024-11-13,2024-11-13
214,2024-10-30,Content,JP,Individual,1,,
215,2024-10-31,Referral,IN,Individual,1,2024-11-09,
216,2024-10-31,Referral,CA,Team,1,2024-11-01,
217,2024-10-31,Referral,GB,Team,1,2024-11-24,2024-11-26
218,2024-11-01,Organic,FR,Individual,2,2024-11-02,
219,2024-11-01,Organic,DE,Team,1,,
220,2024-11-02,Referral,AU,Individual,1,2024-11-07,
221,2024-11-02,Organic,US,Individual,2,2024-11-17,2024-11-18
222,2024-11-02,Paid Search,US,Individual,1,2024-11-05,
223,2024-11-02,Referral,US,Individual,1,,
224,2024-11-03,Referral,US,Individual,1,,
225,2024-11-03,Paid Search,US,Individual,1,2024-11-12,2024-11-20
226,2024-11-03,Referral,AU,Individual,1,,
227,2024-11-03,Partner,FR,Individual,1,,
228,2024-11-03,Referral,FR,Team,3,2024-11-13,2024-11-13
229,2024-11-03,Organic,DE,Individual,1,2024-11-06,
230,2024-11-04,Organic,BR,Individual,1,2024-11-24,
231,2024-11-04,Organic,CA,Individual,1,,
232,2024-11-04,Organic,AU,Team,1,2024-11-08,
233,2024-11-04,Organic,US,Individual,2,2024-11-13,2024-11-18
234,2024-11-04,Organic,JP,Team,1,2024-11-13,2024-11-18
235,2024-11-04,Paid Search,FR,Individual,1,2024-11-07,2024-11-15
236,2024-11-04,Content,US,Individual,2,2024-11-07,2024-11-11
237,2024-11-04,Organic,GB,Individual,1,,
238,2024-11-05,Referral,GB,Individual,1,2024-11-10,
239,2024-11-05,Referral,US,Individual,1,2024-11-12,
240,2024-11-05,Organic,DE,Team,3,,2024-12-10
241,2024-11-05,Content,US,Individual,1,2024-11-11,2024-12-07
242,2024-11-05,Paid Search,US,Individual,2,2024-11-12,
243,2024-11-05,Organic,JP,Team,1,,
244,2024-11-05,Referral,DE,Individual,1,,
245,2024-11-05,Organic,AU,Team,3,2024-11-10,
246,2024-11-05,Referral,FR,Individual,1,2024-11-08,
247,2024-11-06,Organic,US,Individual,1,2024-11-08,2024-11-13
248,2024-11-06,Partner,GB,Individual,1,,
249,2024-11-06,Paid Search,FR,Individual,1,,
250,2024-11-06,Referral,ES,Team,3,2024-11-24,2024-11-29
251,2024-11-06,Organic,US,Individual,1,,
252,2024-11-06,Referral,AU,Individual,1,2024-11-07,2024-11-21
253,2024-11-07,Referral,JP,Individual,1,,
254,2024-11-07,Paid Search,FR,Individual,1,2024-12-02,
255,2024-11-07,Paid Search,JP,Team,2,2024-11-12,
256,2024-11-07,Paid Search,US,Individual,1,,
257,2024-11-07,Content,JP,Individual,2,,
